module,text,data,bss,dec
_nib-6ln.o,824,0,0,824
_nib-arsm.o,300,0,0,300
_nib-internal.o,2220,0,628,2848
_nib-slaac.o,168,0,0,168
at86rf2xx.o,525,0,0,525
at86rf2xx_getset.o,934,0,0,934
at86rf2xx_internal.o,402,0,0,402
at86rf2xx_netdev.o,1678,0,0,1678
auto_init.o,36,0,0,36
auto_init_at86rf2xx.o,82,0,1092,1174
bitarithm.o,100,0,0,100
board.o,100,0,0,100
ccm.o,1084,0,4,1088
cortexm_init.o,120,0,0,120
cpu.o,256,0,0,256
cpuid.o,56,0,0,56
crypto.o,1047,0,568,1615
div.o,124,0,0,124
dtls-client.o,1472,104,52,1628
dtls-server.o,1198,80,3710,4988
dtls.o,12893,0,300,13193
dtls_debug.o,569,4,64,637
dtls_prng.o,32,0,0,32
dtls_time.o,48,0,8,56
evtimer.o,420,0,0,420
fill,132,5,14,151
fmt.o,44,0,0,44
gnrc_icmpv6.o,318,0,0,318
gnrc_ipv6.o,1562,0,1026,2588
gnrc_ipv6_hdr.o,96,0,0,96
gnrc_ndp.o,1230,0,0,1230
gnrc_netapi.o,200,0,0,200
gnrc_netif.o,3764,0,180,3944
gnrc_netif_device_type.o,284,0,0,284
gnrc_netif_hdr.o,100,0,0,100
gnrc_netif_ieee802154.o,640,0,0,640
gnrc_netreg.o,351,0,20,371
gnrc_pkt.o,18,0,0,18
gnrc_pktbuf.o,120,0,0,120
gnrc_pktbuf_static.o,1056,0,6154,7210
gnrc_sixlowpan.o,742,0,1026,1768
gnrc_sixlowpan_ctx.o,400,0,388,788
gnrc_sixlowpan_frag.o,912,0,14,926
gnrc_sixlowpan_iphc.o,3796,0,0,3796
gnrc_sixlowpan_nd.o,58,0,0,58
gnrc_sock.o,464,0,0,464
gnrc_sock_udp.o,952,0,2,954
gnrc_udp.o,688,0,1026,1714
gpio.o,462,0,128,590
hmac.o,222,0,0,222
ieee802154.o,616,0,0,616
inet_csum.o,80,0,0,80
init.o,16,0,0,16
ipv6_addr.o,453,0,0,453
ipv6_addr_from_str.o,265,0,0,265
ipv6_addr_to_str.o,345,0,0,345
irq_arch.o,30,0,0,30
isrpipe.o,58,0,0,58
kernel_init.o,200,8,3328,3536
l2util.o,513,0,0,513
libc_nano.a,14792,564,46,15402
libgcc.a,2064,0,0,2064
luid.o,100,1,0,101
main.o,226,0,64,290
mbox.o,304,0,0,304
memarray.o,148,0,0,148
msg.o,948,0,0,948
mutex.o,170,0,0,170
netdev_ieee802154.o,648,0,0,648
netq.o,309,0,420,729
nib.o,2848,0,0,2848
nib_ft.o,634,0,0,634
nib_nc.o,378,0,0,378
nib_pl.o,651,0,0,651
panic.o,138,0,4,142
peer.o,150,0,56,206
pm.o,192,4,0,196
random.o,94,0,0,94
rbuf.o,936,8,580,1524
rijndael.o,6768,0,0,6768
rmutex.o,122,0,0,122
sc_gnrc_ipv6_nib.o,1628,0,0,1628
sc_gnrc_netif.o,9233,0,0,9233
sc_random.o,153,0,0,153
sc_sys.o,10,0,0,10
sched.o,336,2,214,552
session.o,72,0,0,72
sha256.o,940,64,0,1004
shell.o,726,0,0,726
shell_commands.o,253,0,0,253
spi.o,744,0,8,752
stdio_uart.o,66,20,64,150
syscalls.o,236,4,0,240
thread.o,336,0,0,336
thread_arch.o,256,0,0,256
timer.o,520,0,16,536
tinymt32.o,290,0,28,318
tsrb.o,96,0,0,96
uart.o,676,0,16,692
vectors.o,120,0,0,120
vectors_cortexm.o,921,0,512,1433
xtimer.o,154,0,0,154
xtimer_core.o,1012,0,20,1032
